entry,name,subname,included_spawn_count,primary_category,participation_mode,role_or_profession,unique_named,identity_status,review_status,classification_basis,notes
247,Billy Maclure,,1,CIVILIAN,FULL_AGENT,civilian,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,remaining permanent humanoid,
248,Gramma Stonefield,,1,CIVILIAN,FULL_AGENT,civilian,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,remaining permanent humanoid,
250,Pa Maclure,,1,WORKER_FARMER,FULL_AGENT,farmer,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,project-verified Pa Maclure farmer vertical slice,
251,Maybell Maclure,,1,CIVILIAN,FULL_AGENT,civilian,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,remaining permanent humanoid,
252,Tommy Joe Stonefield,,1,CIVILIAN,FULL_AGENT,civilian,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,remaining permanent humanoid,
253,William Pestle,,1,CIVILIAN,FULL_AGENT,civilian,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,remaining permanent humanoid,
255,Gerard Tiller,,1,CIVILIAN,FULL_AGENT,civilian,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,remaining permanent humanoid,
257,Kobold Worker,,43,CIVILIAN,FULL_AGENT,worker,NO,GENERIC,ACCEPTED_DEFAULT,"humanoid + current hostile faction/name evidence; role/category from ROLE_OVERRIDES, not the heuristic itself (see AIWorld_Current_Roadmap.md)",
258,Joshua Maclure,Vintner,1,MERCHANT_VENDOR,FULL_AGENT,Vintner,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore vendor/repair NPC flag,
261,Guard Thomas,,1,GUARD,FULL_AGENT,guard,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,guard/marshal/deputy/sergeant role in name,
278,Sara Timberlain,,1,CIVILIAN,FULL_AGENT,civilian,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,remaining permanent humanoid,
285,Murloc,,35,COMBATANT,FULL_AGENT,skirmisher,NO,GENERIC,ACCEPTED_DEFAULT,"humanoid + current hostile faction/name evidence; role/category from ROLE_OVERRIDES, not the heuristic itself (see AIWorld_Current_Roadmap.md)",
294,Marshal Haggard,,1,GUARD,FULL_AGENT,guard,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,guard/marshal/deputy/sergeant role in name,
295,Innkeeper Farley,Innkeeper,1,MERCHANT_VENDOR,FULL_AGENT,Innkeeper,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore vendor/repair NPC flag,
299,Diseased Young Wolf,,45,PREDATOR,FULL_AGENT,predator,NO,GENERIC,ACCEPTED_DEFAULT,predatory creature name/current faction evidence,
313,Theocritus,Mage of Tower Azora,1,CIVILIAN,FULL_AGENT,Mage of Tower Azora,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,remaining permanent humanoid,
327,Goldtooth,,1,COMBATANT,FULL_AGENT,skirmisher,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,"humanoid + current hostile faction/name evidence; role/category from ROLE_OVERRIDES, not the heuristic itself (see AIWorld_Current_Roadmap.md)",
328,Zaldimar Wefhellt,Mage Trainer,1,TRAINER,FULL_AGENT,Mage Trainer,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore trainer NPC flag/subname,
330,Princess,,1,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,fauna,YES,UNIQUE_NAMED,ACCEPTED_MANUAL,beast/critter/non-combat-pet permanent population,Single-spawn PREY_FAUNA template with an individual name (Princess); identity audit overrides the category-default unique_named=NO to YES because physical type must not determine identity.
375,Priestess Anetta,Priest Trainer,1,TRAINER,FULL_AGENT,Priest Trainer,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore trainer NPC flag/subname,
377,Priestess Josetta,Priest Trainer,1,TRAINER,FULL_AGENT,Priest Trainer,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore trainer NPC flag/subname,
383,Jason Mathers,Fishmonger,1,CIVILIAN,FULL_AGENT,Fishmonger,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,remaining permanent humanoid,
384,Katie Hunter,Horse Breeder,1,MERCHANT_VENDOR,FULL_AGENT,Horse Breeder,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore vendor/repair NPC flag,
385,Horse,,1,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,domestic_mount,NO,GENERIC,ACCEPTED_DEFAULT,beast/critter/non-combat-pet permanent population,
390,Porcine Entourage,,2,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,fauna,NO,GENERIC,ACCEPTED_DEFAULT,beast/critter/non-combat-pet permanent population,
395,Markus,,1,CIVILIAN,FULL_AGENT,civilian,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,remaining permanent humanoid,
448,Hogger,,1,COMBATANT,FULL_AGENT,chieftain,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,"humanoid + current hostile faction/name evidence; role/category from ROLE_OVERRIDES, not the heuristic itself (see AIWorld_Current_Roadmap.md)",
459,Drusilla La Salle,Warlock Trainer,1,TRAINER,FULL_AGENT,Warlock Trainer,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore trainer NPC flag/subname,
465,Barkeep Dobbins,Bartender,1,MERCHANT_VENDOR,FULL_AGENT,Bartender,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore vendor/repair NPC flag,
471,Mother Fang,,1,PREDATOR,FULL_AGENT,predator,YES,UNIQUE_NAMED,ACCEPTED_MANUAL,predatory creature name/current faction evidence,Single-spawn PREDATOR template with an individual name (Mother Fang); identity audit overrides the category-default unique_named=NO to YES because physical type must not determine identity.
472,Fedfennel,,4,COMBATANT,FULL_AGENT,skirmisher,NO,NAMED_MULTI_SPAWN,ACCEPTED_MANUAL,"humanoid + current hostile faction/name evidence; role/category from ROLE_OVERRIDES, not the heuristic itself (see AIWorld_Current_Roadmap.md)","Named template (Fedfennel) with 4 permanent spawns; unique_named stays NO because the entity is not unique in the census, flagged identity_status=NAMED_MULTI_SPAWN for later world-data cleanup."
473,Morgan the Collector,,1,COMBATANT,FULL_AGENT,bandit,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,"humanoid + current hostile faction/name evidence; role/category from ROLE_OVERRIDES, not the heuristic itself (see AIWorld_Current_Roadmap.md)",
474,Defias Rogue Wizard,,28,COMBATANT,FULL_AGENT,caster,NO,GENERIC,ACCEPTED_DEFAULT,"humanoid + current hostile faction/name evidence; role/category from ROLE_OVERRIDES, not the heuristic itself (see AIWorld_Current_Roadmap.md)",
475,Kobold Tunneler,,39,CIVILIAN,FULL_AGENT,miner,NO,GENERIC,ACCEPTED_DEFAULT,"humanoid + current hostile faction/name evidence; role/category from ROLE_OVERRIDES, not the heuristic itself (see AIWorld_Current_Roadmap.md)",
476,Kobold Geomancer,,8,COMBATANT,FULL_AGENT,caster,NO,GENERIC,ACCEPTED_DEFAULT,"humanoid + current hostile faction/name evidence; role/category from ROLE_OVERRIDES, not the heuristic itself (see AIWorld_Current_Roadmap.md)",
478,Riverpaw Outrunner,,63,COMBATANT,FULL_AGENT,scout,NO,GENERIC,ACCEPTED_DEFAULT,"humanoid + current hostile faction/name evidence; role/category from ROLE_OVERRIDES, not the heuristic itself (see AIWorld_Current_Roadmap.md)",
514,Smith Argus,Blacksmithing Trainer,1,TRAINER,FULL_AGENT,Blacksmithing Trainer,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore trainer NPC flag/subname,
524,Rockhide Boar,,90,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,fauna,NO,GENERIC,ACCEPTED_DEFAULT,beast/critter/non-combat-pet permanent population,
525,Mangy Wolf,,84,PREDATOR,FULL_AGENT,predator,NO,GENERIC,ACCEPTED_DEFAULT,predatory creature name/current faction evidence,
620,Chicken,,20,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,fauna,NO,GENERIC,ACCEPTED_DEFAULT,beast/critter/non-combat-pet permanent population,
721,Rabbit,,94,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,fauna,NO,GENERIC,ACCEPTED_DEFAULT,beast/critter/non-combat-pet permanent population,
732,Murloc Lurker,,42,COMBATANT,FULL_AGENT,ambusher,NO,GENERIC,ACCEPTED_DEFAULT,"humanoid + current hostile faction/name evidence; role/category from ROLE_OVERRIDES, not the heuristic itself (see AIWorld_Current_Roadmap.md)",
735,Murloc Streamrunner,,21,COMBATANT,FULL_AGENT,scout,NO,GENERIC,ACCEPTED_DEFAULT,"humanoid + current hostile faction/name evidence; role/category from ROLE_OVERRIDES, not the heuristic itself (see AIWorld_Current_Roadmap.md)",
794,Matt,,1,CIVILIAN,FULL_AGENT,civilian,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,remaining permanent humanoid,
795,Mark,,1,CIVILIAN,FULL_AGENT,civilian,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,remaining permanent humanoid,
796,Joshua,,1,CIVILIAN,FULL_AGENT,civilian,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,remaining permanent humanoid,
797,Bo,,1,CIVILIAN,FULL_AGENT,civilian,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,remaining permanent humanoid,
798,Solomon,,1,CIVILIAN,FULL_AGENT,civilian,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,remaining permanent humanoid,
799,Kevin,,1,CIVILIAN,FULL_AGENT,civilian,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,remaining permanent humanoid,
800,Kyle,,1,CIVILIAN,FULL_AGENT,civilian,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,remaining permanent humanoid,
801,Eric,,1,CIVILIAN,FULL_AGENT,civilian,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,remaining permanent humanoid,
802,Jay,,1,CIVILIAN,FULL_AGENT,civilian,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,remaining permanent humanoid,
804,Dana,,1,CIVILIAN,FULL_AGENT,civilian,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,remaining permanent humanoid,
805,Cameron,,1,CIVILIAN,FULL_AGENT,civilian,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,remaining permanent humanoid,
806,John,,1,CIVILIAN,FULL_AGENT,civilian,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,remaining permanent humanoid,
807,Lisa,,1,CIVILIAN,FULL_AGENT,civilian,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,remaining permanent humanoid,
810,Aaron,,1,CIVILIAN,FULL_AGENT,civilian,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,remaining permanent humanoid,
811,Jose,,1,CIVILIAN,FULL_AGENT,civilian,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,remaining permanent humanoid,
822,Young Forest Bear,,47,PREDATOR,FULL_AGENT,predator,NO,GENERIC,ACCEPTED_DEFAULT,predatory creature name/current faction evidence,
823,Deputy Willem,,1,GUARD,FULL_AGENT,guard,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,guard/marshal/deputy/sergeant role in name,
844,Antonio Perelli,Traveling Salesman,1,MERCHANT_VENDOR,FULL_AGENT,Traveling Salesman,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore vendor/repair NPC flag,
880,Erlan Drudgemoor,,1,COMBATANT,FULL_AGENT,bandit,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,"humanoid + current hostile faction/name evidence; role/category from ROLE_OVERRIDES, not the heuristic itself (see AIWorld_Current_Roadmap.md)",
881,Surena Caledon,,1,COMBATANT,FULL_AGENT,bandit,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,"humanoid + current hostile faction/name evidence; role/category from ROLE_OVERRIDES, not the heuristic itself (see AIWorld_Current_Roadmap.md)",
883,Deer,,45,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,fauna,NO,GENERIC,ACCEPTED_DEFAULT,beast/critter/non-combat-pet permanent population,
890,Fawn,,13,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,fauna,NO,GENERIC,ACCEPTED_DEFAULT,beast/critter/non-combat-pet permanent population,
894,Homer Stonefield,Fruit Seller,1,MERCHANT_VENDOR,FULL_AGENT,Fruit Seller,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore vendor/repair NPC flag,
896,Veldan Lightfoot,Leather Armor Merchant,1,MERCHANT_VENDOR,FULL_AGENT,Leather Armor Merchant,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore vendor/repair NPC flag,
906,Maximillian Crowe,Warlock Trainer,1,TRAINER,FULL_AGENT,Warlock Trainer,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore trainer NPC flag/subname,
911,Llane Beshere,Warrior Trainer,1,TRAINER,FULL_AGENT,Warrior Trainer,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore trainer NPC flag/subname,
913,Lyria Du Lac,Warrior Trainer,1,TRAINER,FULL_AGENT,Warrior Trainer,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore trainer NPC flag/subname,
915,Jorik Kerridan,Rogue Trainer,1,TRAINER,FULL_AGENT,Rogue Trainer,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore trainer NPC flag/subname,
917,Keryn Sylvius,Rogue Trainer,1,TRAINER,FULL_AGENT,Rogue Trainer,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore trainer NPC flag/subname,
925,Brother Sammuel,Paladin Trainer,1,TRAINER,FULL_AGENT,Paladin Trainer,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore trainer NPC flag/subname,
927,Brother Wilhelm,Paladin Trainer,1,TRAINER,FULL_AGENT,Paladin Trainer,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore trainer NPC flag/subname,
951,Brother Paxton,Librarian,1,CIVILIAN,FULL_AGENT,Librarian,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,remaining permanent humanoid,
952,Brother Neals,,1,CIVILIAN,FULL_AGENT,civilian,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,remaining permanent humanoid,
955,Sergeant De Vries,Morale Officer,1,GUARD,FULL_AGENT,guard,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,guard/marshal/deputy/sergeant role in name,
958,Dawn Brightstar,Arcane Goods,1,MERCHANT_VENDOR,FULL_AGENT,Arcane Goods,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore vendor/repair NPC flag,
959,Morley Eberlein,Clothier,1,MERCHANT_VENDOR,FULL_AGENT,Clothier,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore vendor/repair NPC flag,
963,Deputy Rainer,,1,GUARD,FULL_AGENT,guard,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,guard/marshal/deputy/sergeant role in name,
1103,Eldrin,Tailoring Trainer,1,TRAINER,FULL_AGENT,Tailoring Trainer,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore trainer NPC flag/subname,
1198,Rallic Finn,Bowyer,1,MERCHANT_VENDOR,FULL_AGENT,Bowyer,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore vendor/repair NPC flag,
1213,Godric Rothgar,Armorer & Shieldcrafter,1,MERCHANT_VENDOR,FULL_AGENT,Armorer & Shieldcrafter,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore vendor/repair NPC flag,
1215,Alchemist Mallory,Alchemy Trainer,1,TRAINER,FULL_AGENT,Alchemy Trainer,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore trainer NPC flag/subname,
1218,Herbalist Pomeroy,Herbalism Trainer,1,TRAINER,FULL_AGENT,Herbalism Trainer,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore trainer NPC flag/subname,
1249,Quartermaster Hudson,Armorer & Shieldcrafter,1,MERCHANT_VENDOR,FULL_AGENT,Armorer & Shieldcrafter,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore vendor/repair NPC flag,
1250,Drake Lindgren,General & Trade Supplies,1,MERCHANT_VENDOR,FULL_AGENT,General & Trade Supplies,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore vendor/repair NPC flag,
1423,Stormwind Guard,,38,GUARD,FULL_AGENT,guard,NO,GENERIC,ACCEPTED_DEFAULT,guard/marshal/deputy/sergeant role in name,
1430,Tomas,Cook,1,TRAINER,FULL_AGENT,Cook,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore trainer NPC flag/subname,
1632,Adele Fielder,Leatherworking Trainer,1,TRAINER,FULL_AGENT,Leatherworking Trainer,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore trainer NPC flag/subname,
1642,Northshire Guard,,7,GUARD,FULL_AGENT,guard,NO,GENERIC,ACCEPTED_DEFAULT,guard/marshal/deputy/sergeant role in name,
1645,Quartermaster Hicks,Master Weaponsmith,1,MERCHANT_VENDOR,FULL_AGENT,Master Weaponsmith,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore vendor/repair NPC flag,
1650,Terry Palin,Lumberjack,1,MERCHANT_VENDOR,FULL_AGENT,Lumberjack,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore vendor/repair NPC flag,
1651,Lee Brown,Fishing Trainer,1,TRAINER,FULL_AGENT,Fishing Trainer,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore trainer NPC flag/subname,
1922,Gray Forest Wolf,,55,PREDATOR,FULL_AGENT,predator,NO,GENERIC,ACCEPTED_DEFAULT,predatory creature name/current faction evidence,
1933,Sheep,,17,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,fauna,NO,GENERIC,ACCEPTED_DEFAULT,beast/critter/non-combat-pet permanent population,
1949,Servant of Azora,,10,CIVILIAN,FULL_AGENT,civilian,NO,GENERIC,ACCEPTED_MANUAL,remaining permanent humanoid,Accepted as normal Alliance-aligned civilian for 3.1; final faction assignment belongs to 3.3.
1975,Eastvale Lumberjack,,3,WORKER_FARMER,FULL_AGENT,worker,NO,GENERIC,ACCEPTED_DEFAULT,worker/farmer role in name,
2046,Andrew Krighton,Armorer & Shieldcrafter,1,MERCHANT_VENDOR,FULL_AGENT,Armorer & Shieldcrafter,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore vendor/repair NPC flag,
2329,Michelle Belle,Physician,1,TRAINER,FULL_AGENT,Physician,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore trainer NPC flag/subname,
2442,Cow,,46,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,fauna,NO,GENERIC,ACCEPTED_DEFAULT,beast/critter/non-combat-pet permanent population,
3935,Toddrick,Butcher,1,MERCHANT_VENDOR,FULL_AGENT,Butcher,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore vendor/repair NPC flag,
3937,Kira Songshine,Traveling Baker,1,MERCHANT_VENDOR,FULL_AGENT,Traveling Baker,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore vendor/repair NPC flag,
4732,Randal Hunter,Riding Trainer,1,TRAINER,FULL_AGENT,Riding Trainer,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore trainer NPC flag/subname,
5403,Riding White Stallion,,2,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,domestic_mount,NO,GENERIC,ACCEPTED_DEFAULT,beast/critter/non-combat-pet permanent population,
5405,Pinto,,1,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,domestic_mount,NO,GENERIC,ACCEPTED_DEFAULT,beast/critter/non-combat-pet permanent population,
5406,Palomino,,1,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,domestic_mount,NO,GENERIC,ACCEPTED_DEFAULT,beast/critter/non-combat-pet permanent population,
